12,27,8,2,0,1,0,16,0,0,16,13,8,0,0,6,0,8,35,0,0,5,2,0,11,0,0,1
12,27,8,2,0,1,0,16,0,0,16,13,8,0,0,6,0,16,1,8,0,2,4,0,2,0,0,0
12,27,8,2,0,1,0,16,0,0,16,13,8,0,0,6,0,8,26,16,2,4,6,0,12,0,1,0
12,27,8,2,0,1,0,16,0,0,16,13,8,0,0,6,0,8,5,8,2,3,9,0,12,0,1,0
12,27,8,2,0,1,0,16,0,0,16,13,8,0,0,6,0,12,5,8,2,3,12,0,12,0,1,0
12,27,8,2,0,1,0,16,0,0,16,13,8,0,0,6,0,12,4,12,2,0,13,0,13,0,1,0
12,27,8,2,0,1,0,16,0,0,16,13,8,0,0,6,0,12,5,12,2,0,15,0,0,0,1,0
12,27,8,2,0,5,0,16,0,0,16,1,8,0,2,2,0,8,26,16,2,4,2,1,12,0,1,1
12,27,8,2,0,5,0,16,0,0,16,1,8,0,2,2,0,8,5,8,2,3,5,0,12,0,1,1
12,27,8,2,0,5,0,16,0,0,16,1,8,0,2,2,0,12,5,8,2,3,8,0,12,0,1,1
12,27,8,2,0,5,0,16,0,0,16,1,8,0,2,2,0,12,4,12,2,0,9,0,13,0,1,0
12,27,8,2,0,5,0,16,0,0,16,1,8,0,2,2,0,12,5,12,2,0,11,0,0,0,1,1
8,35,0,0,5,2,0,11,0,0,16,1,8,0,2,2,0,8,26,16,2,4,2,1,12,0,1,0
8,35,0,0,5,2,0,11,0,0,16,1,8,0,2,2,0,8,5,8,2,3,5,0,12,0,1,0
8,35,0,0,5,2,0,11,0,0,16,1,8,0,2,2,0,12,5,8,2,3,8,0,12,0,1,0
8,35,0,0,5,2,0,11,0,0,16,1,8,0,2,2,0,12,4,12,2,0,9,0,13,0,1,0
8,35,0,0,5,2,0,11,0,0,16,1,8,0,2,2,0,12,5,12,2,0,11,0,0,0,1,0
8,27,16,0,2,3,1,8,0,0,16,35,0,0,4,2,0,8,26,16,0,3,2,1,18,0,1,1
8,27,16,0,2,3,1,8,0,0,16,35,0,0,4,2,0,16,1,8,0,4,5,0,6,0,1,1
8,27,16,0,2,3,1,8,0,0,16,35,0,0,4,2,0,8,40,16,0,1,7,0,18,0,0,0
8,27,16,0,2,3,1,8,0,0,16,35,0,0,4,2,0,16,12,16,0,2,9,0,6,0,1,1
